11/2017;    2.65
12/2017;    2.75
01/2018;    2.41
02/2018;    1.94
03/2018;    0.29
04/2018;    0.16
05/2018;    0.27
06/2018;    0.10
07/2018;    0.14
08/2018;    0.33
09/2018;    0.87
10/2018;    0.61
11/2018;    1.75
12/2018;    2.25
01/2019;    3.25
02/2019;    1.17
03/2019;    0.00
04/2019;    0.44
05/2019;    0.15
06/2019;    0.13
07/2019;    0.22
08/2019;    0.49
09/2019;    0.92
10/2019;    0.60
11/2019;    0.26
12/2019;    1.15
01/2020;    3.42
02/2020;    3.72
03/2020;    1.21
04/2020;    0.08
05/2020;    0.11
06/2020;    0.15
07/2020;    0.23
08/2020;    0.47
09/2020;    0.99
10/2020;    0.57
11/2020;    0.27
12/2020;    1.47
01/2021;    3.31
02/2021;    3.69
03/2021;    1.11
04/2021;    0.14
05/2021;    0.01
06/2021;    0.16
07/2021;    0.22
08/2021;    0.43
09/2021;    0.95
10/2021;    0.56
11/2021;    0.22
12/2021;    1.57
01/2022;    3.40
02/2022;    3.70
03/2022;    0.93
04/2022;    0.06
05/2022;    0.57
06/2022;    0.15
07/2022;    0.20
08/2022;    0.47
09/2022;    0.93
10/2022;    0.55
11/2022;    0.61
12/2022;    0.90
01/2023;    3.50
02/2023;    3.77
03/2023;    1.03
04/2023;    0.07
